"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Feb 02 14:46:48 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1643793408241","","Practice Form: Student Registration Form","","Practice Form: Student Registration Form","And I select hobbies Sports","And I select hobbies Sports",""
"passed","Mon Jan 31 15:08:29 IST 2022","Mon Jan 31 15:08:30 IST 2022","1328","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Given I am on the login page","Given I am on the login page",""
"passed","Tue Feb 01 16:56:27 IST 2022","Tue Feb 01 16:56:42 IST 2022","15081","","The Internet website homepage: As a user, I can open internet website","","The Internet website homepage: As a user, I can open internet website","Given I open the browser and load the url https://the-internet.herokuapp.com/","Given I open the browser and load the url https://the-internet.herokuapp.com/",""
"passed","Wed Feb 02 13:10:43 IST 2022","Wed Feb 02 13:10:43 IST 2022","2","","The Internet website homepage: As a user, I can open internet website","","The Internet website homepage: As a user, I can open internet website","","",""
"failed","Thu Feb 03 12:11:48 IST 2022","Thu Feb 03 12:12:06 IST 2022","18566","","The Internet website homepage","","The Internet website homepage","As a user, I can open internet website","As a user, I can open internet website",""
"passed","Wed Feb 02 14:46:47 IST 2022","Wed Feb 02 14:46:47 IST 2022","1","","Practice Form: Student Registration Form","","Practice Form: Student Registration Form","When I enter firstname Emma and lastname watson and Email <userEmail>","When I enter firstname Emma and lastname watson and Email <userEmail>",""
"passed","Thu Feb 03 12:36:23 IST 2022","Thu Feb 03 12:36:30 IST 2022","6414","","User want to test demotours","","User want to test demotours","User wants to login the site","User wants to login the site",""
"unknown","Wed Feb 02 14:46:48 IST 2022","Thu Jan 01 05:30:00 IST 1970","-1643793408243","","Practice Form: Student Registration Form","","Practice Form: Student Registration Form","And I enter addressIndia","And I enter addressIndia",""
"passed","Mon Jan 31 15:08:29 IST 2022","Mon Jan 31 15:08:29 IST 2022","143","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Mon Jan 31 15:08:33 IST 2022","Mon Jan 31 15:08:33 IST 2022","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
